Timestamps,Locations,VehicleCounts,AverageSpeeds,CongestionLevels,WeatherConditions,Temperatures,Humidity,AirQualityIndex,TrafficSignalStatus,SignalTimingPlan,RoadType,AccidentCount,RoadSurfaceCondition,Visibility,PedestrianCount,CyclistCount,PublicTransportation,VehicleType,NoiseLevel,RoadCapacity
2023-01-01 00:00:00,Intersection C,191,40.121030152360504,Moderate,Rainy,13.575391197474245,73.86489497581502,87,Green,Plan A,Highway,2,Wet,Poor,12,7,No,Motorcycle,Moderate,923
2023-01-01 00:15:00,Intersection C,259,53.94039781032881,Low,Rainy,13.502087302822382,44.10848654820135,25,Yellow,Plan B,Highway,0,Snowy,Moderate,18,2,Yes,Car,High,897
2023-01-01 00:30:00,Intersection A,273,47.54757434511601,Low,Rainy,20.251124045273272,76.40649053204011,72,Red,Plan A,Rural Road,1,Dry,Good,5,7,Yes,Car,Moderate,619
2023-01-01 00:45:00,Intersection B,148,37.80812579117199,High,Rainy,12.301657509521789,39.12494671739012,41,Yellow,Plan B,Highway,3,Dry,Poor,0,8,Yes,Car,Moderate,947
2023-01-01 01:00:00,Intersection A,135,17.360895202007853,Moderate,Sunny,13.897808581178293,55.319390685550005,46,Red,Plan A,Highway,2,Dry,Moderate,1,3,Yes,Truck,Moderate,569
2023-01-01 01:15:00,Intersection A,210,15.784174992867374,Low,Foggy,11.36202476595847,32.055902519421274,20,Red,Plan B,Highway,0,Wet,Good,13,1,Yes,Bus,Low,789
2023-01-01 01:30:00,Intersection B,286,25.113456418809683,Low,Sunny,17.23371300754586,69.6523544522439,72,Red,Plan B,Rural Road,2,Dry,Poor,11,8,No,Car,High,755
2023-01-01 01:45:00,Intersection B,115,33.15969787194813,High,Rainy,28.82731823534882,48.93722587904855,25,Red,Plan A,Urban Street,4,Dry,Moderate,10,5,No,Motorcycle,High,800
2023-01-01 02:00:00,Intersection C,245,43.797879231670734,High,Foggy,10.96425553843842,75.14247681045984,68,Yellow,Plan B,Urban Street,3,Wet,Moderate,4,3,Yes,Motorcycle,Low,908
2023-01-01 02:15:00,Intersection B,183,35.71589716603973,Low,Sunny,21.266787382922686,43.493182901773274,61,Red,Plan B,Rural Road,2,Wet,Poor,10,8,Yes,Truck,High,758
2023-01-01 02:30:00,Intersection C,94,24.241233524810177,High,Foggy,24.93138748767576,30.201324187756587,82,Green,Plan A,Rural Road,2,Wet,Poor,19,5,Yes,Truck,Moderate,804
2023-01-01 02:45:00,Intersection C,70,40.37565674089669,Low,Foggy,18.384607011479368,46.89244902986043,72,Yellow,Plan B,Rural Road,3,Snowy,Poor,15,3,No,Truck,Moderate,569
2023-01-01 03:00:00,Intersection C,238,50.013965591156655,Moderate,Rainy,13.034661409967743,54.861596998275516,111,Green,Plan B,Highway,1,Snowy,Poor,11,8,Yes,Bus,Low,740
2023-01-01 03:15:00,Intersection B,58,39.713355276670924,Low,Sunny,19.726107612472507,54.23482907916487,60,Green,Plan A,Rural Road,0,Snowy,Moderate,14,4,Yes,Truck,Low,528
2023-01-01 03:30:00,Intersection B,256,49.63896252521204,High,Foggy,11.970368880727724,40.36855984708242,26,Red,Plan B,Highway,4,Dry,Poor,9,1,No,Car,High,707
2023-01-01 03:45:00,Intersection B,264,27.243636860877317,Moderate,Sunny,12.067214490364822,67.47115346108599,96,Green,Plan B,Highway,0,Wet,Good,1,1,Yes,Truck,Moderate,556
2023-01-01 04:00:00,Intersection A,141,33.55245251409498,Low,Rainy,24.377018053838597,44.907758595346834,46,Red,Plan A,Urban Street,1,Wet,Moderate,16,3,Yes,Motorcycle,Low,694
2023-01-01 04:15:00,Intersection C,228,26.630822881487738,High,Rainy,25.97167662855194,67.63385022355655,98,Yellow,Plan A,Urban Street,0,Dry,Moderate,15,2,No,Truck,Moderate,888
2023-01-01 04:30:00,Intersection B,198,30.812622672840547,Low,Foggy,25.450181061575826,75.48885703582461,118,Green,Plan A,Urban Street,4,Wet,Poor,3,3,Yes,Car,Low,915
2023-01-01 04:45:00,Intersection A,61,12.045342442647957,High,Rainy,23.90182448701747,40.0947839168239,15,Yellow,Plan B,Rural Road,0,Snowy,Poor,6,3,Yes,Car,High,936
2023-01-01 05:00:00,Intersection B,156,45.10924950484969,High,Sunny,10.222198936086004,32.98875430700586,31,Yellow,Plan A,Rural Road,0,Wet,Good,7,9,Yes,Car,High,579
2023-01-01 05:15:00,Intersection A,118,52.91537563698019,Moderate,Sunny,12.3206994699515,71.49957870504932,114,Red,Plan A,Rural Road,0,Dry,Good,14,9,No,Bus,High,744
2023-01-01 05:30:00,Intersection C,165,14.690940761628454,Moderate,Foggy,15.638506000589485,34.98608507961016,115,Green,Plan A,Urban Street,1,Wet,Good,3,1,Yes,Car,Low,813
2023-01-01 05:45:00,Intersection A,256,41.71694284662848,Low,Sunny,28.15288034675534,52.11692204117675,107,Yellow,Plan B,Urban Street,1,Dry,Moderate,19,0,No,Car,Moderate,633
2023-01-01 06:00:00,Intersection D,124,58.66839578881098,Low,Foggy,29.10302898271514,57.0104331925416,74,Yellow,Plan B,Urban Street,3,Snowy,Poor,17,5,Yes,Car,Moderate,514
2023-01-01 06:15:00,Intersection C,274,12.502043744979199,Moderate,Foggy,17.64078784303274,54.702309787418116,51,Green,Plan A,Highway,4,Wet,Moderate,17,9,Yes,Car,High,542
2023-01-01 06:30:00,Intersection B,147,26.0609812469114,High,Rainy,15.45901158163627,33.8425548601455,93,Green,Plan B,Rural Road,1,Dry,Moderate,18,9,Yes,Motorcycle,Low,872
2023-01-01 06:45:00,Intersection A,67,28.655367137745277,Moderate,Rainy,18.29271266372009,77.94099800893477,10,Red,Plan B,Urban Street,3,Wet,Moderate,15,2,No,Motorcycle,Low,668
2023-01-01 07:00:00,Intersection C,156,47.74496606950641,Low,Rainy,14.174693712439028,56.72542212873522,26,Green,Plan A,Rural Road,0,Dry,Good,14,4,No,Car,Low,754
2023-01-01 07:15:00,Intersection C,77,29.486283666646848,Moderate,Foggy,15.680249011828298,65.35873908833412,75,Red,Plan B,Rural Road,0,Dry,Good,18,2,Yes,Truck,High,582
2023-01-01 07:30:00,Intersection A,278,49.44379609309428,Low,Sunny,14.761696665115878,39.82686210885469,69,Green,Plan B,Highway,3,Dry,Moderate,7,5,No,Bus,Low,709
2023-01-01 07:45:00,Intersection C,160,59.9268698489202,Low,Rainy,19.38067130577976,46.830507476472185,8,Red,Plan A,Highway,1,Dry,Good,17,5,No,Bus,Moderate,715
2023-01-01 08:00:00,Intersection B,255,35.50323472036894,Low,Foggy,12.961764372751713,49.79278331936525,96,Red,Plan B,Highway,0,Snowy,Poor,15,9,No,Motorcycle,High,912
2023-01-01 08:15:00,Intersection D,169,27.471665335268305,High,Foggy,12.439038731705454,33.548855776686736,5,Yellow,Plan B,Urban Street,1,Dry,Poor,6,1,No,Bus,High,799
2023-01-01 08:30:00,Intersection B,118,59.20946513617573,Moderate,Sunny,28.858624218451105,68.84968341077611,69,Red,Plan B,Highway,1,Snowy,Good,5,9,No,Bus,High,645
2023-01-01 08:45:00,Intersection A,199,27.986137786826895,High,Foggy,10.851909670941481,65.45069079643707,82,Red,Plan A,Highway,1,Dry,Good,8,1,No,Bus,Low,566
2023-01-01 09:00:00,Intersection B,287,17.960347597912715,Moderate,Sunny,28.249675914965962,38.721373242302555,48,Green,Plan A,Urban Street,0,Dry,Poor,13,0,No,Truck,High,775
2023-01-01 09:15:00,Intersection D,116,42.92656299196898,Low,Rainy,14.35561251777939,35.17229103254582,70,Green,Plan B,Rural Road,0,Dry,Good,4,2,Yes,Motorcycle,Low,789
2023-01-01 09:30:00,Intersection D,180,56.20022415200444,High,Rainy,22.583073158269986,73.88881245598613,11,Red,Plan B,Urban Street,2,Dry,Poor,4,6,No,Motorcycle,Moderate,634
2023-01-01 09:45:00,Intersection C,268,32.30427489743494,Moderate,Foggy,22.2344856982042,72.26327508247127,65,Green,Plan A,Rural Road,2,Snowy,Moderate,19,7,No,Truck,High,934
